# generated by triage — do not edit
# lemma	upos	count
it	PRON	207
they	PRON	139
we	PRON	127
will	AUX	116
this	DET	111
that	PRON	105
would	AUX	91
he	PRON	82
that	SCONJ	81
great	ADJ	72
's	PART	70
service	NOUN	67
what	PRON	59
just	ADV	57
very	ADV	57
want	VERB	53
our	PRON	50
thanks	NOUN	49
this	PRON	49
there	PRON	48
all	DET	46
any	DET	45
could	AUX	44
need	VERB	43
his	PRON	40
food	NOUN	39
look	VERB	38
as	ADP	36
as	SCONJ	35
here	ADV	35
please	INTJ	34
now	ADV	33
out	ADP	33
should	AUX	33
think	VERB	32
year	NOUN	31
there	ADV	30
when	ADV	30
their	PRON	29
try	VERB	29
call	VERB	28
how	ADV	28
she	PRON	28
like	VERB	25
really	ADV	25
that	DET	25
too	ADV	25
also	ADV	24
deal	NOUN	24
recommend	VERB	24
two	NUM	24
even	ADV	23
like	ADP	22
many	ADJ	22
few	ADJ	21
friendly	ADJ	21
its	PRON	21
little	ADJ	21
nice	ADJ	21
today	NOUN	21
area	NOUN	20
back	ADV	19
ever	ADV	19
job	NOUN	19
sure	ADJ	19
&	CCONJ	18
again	ADV	18
ask	VERB	18
eat	VERB	18
guy	NOUN	18
restaurant	NOUN	18
week	NOUN	18
well	ADV	18
email	NOUN	17
let	VERB	17
as	ADV	16
discuss	VERB	16
price	NOUN	16
staff	NOUN	16
thank	VERB	16
where	ADV	16
anyone	PRON	15
anything	PRON	15
phone	NOUN	15
always	ADV	14
buy	VERB	14
e-mail	NOUN	14
highly	ADV	14
issue	NOUN	14
p.m.	NOUN	14
risk	NOUN	14
seem	VERB	14
space	NOUN	14
why	ADV	14
713	NUM	13
able	ADJ	13
amazing	ADJ	13
excellent	ADJ	13
feel	VERB	13
off	ADP	13
out	ADV	13
performance	NOUN	13
since	SCONJ	13
business	NOUN	12
call	NOUN	12
company	NOUN	12
fast	ADJ	12
her	PRON	12
like	SCONJ	12
lot	NOUN	12
money	NOUN	12
much	ADJ	12
opinion	NOUN	12
page	NOUN	12
school	NOUN	12
site	NOUN	12
someone	PRON	12
01-Feb-02	NOUN	11
Islamic	ADJ	11
awesome	ADJ	11
camera	NOUN	11
credit	NOUN	11
form	NOUN	11
government	NOUN	11
hand	NOUN	11
helpful	ADJ	11
much	ADV	11
something	PRON	11
sound	VERB	11
through	ADP	11
visit	VERB	11
well	INTJ	11
1	NUM	10
10	NUM	10
5	NUM	10
address	NOUN	10
country	NOUN	10
enjoy	VERB	10
everything	PRON	10
local	ADJ	10
professional	ADJ	10
talk	VERB	10
yes	INTJ	10
American	ADJ	9
P	NOUN	9
ago	ADV	9
all	ADV	9
around	ADP	9
city	NOUN	9
dinner	NOUN	9
draft	NOUN	9
fax	NOUN	9
fine	ADJ	9
firm	NOUN	9
guaranty	NOUN	9
happen	VERB	9
happy	ADJ	9
however	ADV	9
might	AUX	9
next	ADJ	9
picture	NOUN	9
play	VERB	9
post	VERB	9
pretty	ADV	9
under	ADP	9
war	NOUN	9
what	DET	9
wonderful	ADJ	9
20	NUM	8
21	NUM	8
24	NUM	8
Sunni	ADJ	8
another	DET	8
art	NOUN	8
believe	VERB	8
book	NOUN	8
car	NOUN	8
computer	NOUN	8
cream	NOUN	8
dog	NOUN	8
experience	NOUN	8
fresh	ADJ	8
gas	NOUN	8
need	NOUN	8
operation	NOUN	8
probably	ADV	8
quick	ADJ	8
rocket	NOUN	8
room	NOUN	8
rude	ADJ	8
same	ADJ	8
section	NOUN	8
shop	NOUN	8
weekend	NOUN	8
2	NUM	7
Muslim	ADJ	7
agree	VERB	7
among	ADP	7
around	ADV	7
away	ADV	7
behind	ADP	7
below	ADV	7
blow	VERB	7
bring	VERB	7
busy	ADJ	7
care	NOUN	7
certainly	ADV	7
course	NOUN	7
each	DET	7
early	ADJ	7
else	ADV	7
extremely	ADV	7
far	ADV	7
four	NUM	7
gift	NOUN	7
girl	NOUN	7
hi	INTJ	7
hour	NOUN	7
interested	ADJ	7
location	NOUN	7
look	NOUN	7
nothing	PRON	7
pleased	ADJ	7
police	NOUN	7
provide	VERB	7
rather	ADV	7
schedule	VERB	7
search	NOUN	7
soon	ADV	7
stuff	NOUN	7
such	ADJ	7
suggestion	NOUN	7
support	NOUN	7
terrible	ADJ	7
though	ADV	7
web	NOUN	7
wonder	VERB	7
11	NUM	6
20.000	NUM	6
3	NUM	6
Chinese	ADJ	6
Indian	ADJ	6
Iraqi	ADJ	6
Irish	ADJ	6
United	ADJ	6
accord	VERB	6
actually	ADV	6
article	NOUN	6
attack	NOUN	6
bar	NOUN	6
burger	NOUN	6
child	NOUN	6
couple	NOUN	6
down	ADP	6
enough	ADV	6
highway	NOUN	6
id	NOUN	6
involved	ADJ	6
management	NOUN	6
market	NOUN	6
mean	VERB	6
medical	ADJ	6
mmbtu	NOUN	6
morning	NOUN	6
nuclear	ADJ	6
obviously	ADV	6
often	ADV	6
paper	NOUN	6
pint	NOUN	6
possible	ADJ	6
post	NOUN	6
power	NOUN	6
regard	VERB	6
remember	VERB	6
several	ADJ	6
shuttle	NOUN	6
slogan	NOUN	6
slow	ADJ	6
statue	NOUN	6
telephone	NOUN	6
ticket	NOUN	6
town	NOUN	6
tragedy	NOUN	6
video	NOUN	6
whether	SCONJ	6
wish	VERB	6
01/24/2001	NUM	5
16	NUM	5
6	NUM	5
DPR	NOUN	5
Holy	ADJ	5
Pakistani	ADJ	5
account	NOUN	5
advise	VERB	5
begin	VERB	5
boy	NOUN	5
cafeteria	NOUN	5
charge	VERB	5
cool	ADJ	5
currently	ADV	5
date	NOUN	5
deliver	VERB	5
down	ADV	5
drive	VERB	5
due	ADJ	5
during	ADP	5
email	VERB	5
especially	ADV	5
estate	NOUN	5
everyone	PRON	5
extra	ADJ	5
facsimile	NOUN	5
family	NOUN	5
fantastic	ADJ	5
global	ADJ	5
important	ADJ	5
launch	VERB	5
leave	VERB	5
level	NOUN	5
light	NOUN	5
lol	INTJ	5
matter	NOUN	5
news	NOUN	5
option	NOUN	5
organization	NOUN	5
owner	NOUN	5
per	ADP	5
private	ADJ	5
radical	ADJ	5
rate	NOUN	5
reasonable	ADJ	5
regards	NOUN	5
remain	VERB	5
revise	VERB	5
star	NOUN	5
tank	NOUN	5
terrorist	ADJ	5
terrorist	NOUN	5
three	NUM	5
top	ADJ	5
trader	NOUN	5
travel	NOUN	5
understand	VERB	5
unique	ADJ	5
vet	NOUN	5
view	NOUN	5
