# generated by lexgen from seed/seed.json + domain/model.json — do not edit
# surface	kind	tag	value   (value = lemma for forms, suggestion for rejects, capitalized term for terms, capitalized parent category for member_of)
Anaphoric Pronoun	form	NOUN_SG	anaphoric pronoun
Anaphoric Pronoun	member_of	-	Pronoun
Anaphoric Pronouns	form	NOUN_PL	anaphoric pronoun
Angloform	name	-	Angloform
Auxiliaries	form	NOUN_PL	auxiliary
Auxiliary	form	NOUN_SG	auxiliary
Auxiliary	member_of	-	Function Word
Ban	form	NOUN_SG	ban
Ban	member_of	-	Rejection
Bans	form	NOUN_PL	ban
Bare Plural	form	NOUN_SG	bare plural
Bare Plural	member_of	-	Noun Phrase
Bare Plurals	form	NOUN_PL	bare plural
Block	form	NOUN_SG	block
Blocks	form	NOUN_PL	block
Categories	form	NOUN_PL	category
Category	form	NOUN_SG	category
Closed Class	form	NOUN_SG	closed class
Closed Classes	form	NOUN_PL	closed class
Cognitive Load	form	NOUN_SG	cognitive load
Cognitive Loads	form	NOUN_PL	cognitive load
Collision	form	NOUN_SG	collision
Collisions	form	NOUN_PL	collision
Comparative	form	NOUN_SG	comparative
Comparative	member_of	-	Complement
Comparatives	form	NOUN_PL	comparative
Complement	form	NOUN_SG	complement
Complements	form	NOUN_PL	complement
Compound	form	NOUN_SG	compound
Compounds	form	NOUN_PL	compound
Conditional	form	NOUN_SG	conditional
Conditional	member_of	-	Sentence Shape
Conditionals	form	NOUN_PL	conditional
Conjunct	form	NOUN_SG	conjunct
Conjuncts	form	NOUN_PL	conjunct
Constituent	form	NOUN_SG	constituent
Constituents	form	NOUN_PL	constituent
Context Need	form	NOUN_SG	context need
Context Needs	form	NOUN_PL	context need
Coordination	form	NOUN_SG	coordination
Coordinations	form	NOUN_PL	coordination
Copula	form	NOUN_SG	copula
Copula	member_of	-	Function Word
Copulas	form	NOUN_PL	copula
Coverage	form	NOUN_SG	coverage
Coverages	form	NOUN_PL	coverage
Declared Loss	form	NOUN_SG	declared loss
Declared Losses	form	NOUN_PL	declared loss
Dependency Length	form	NOUN_SG	dependency length
Dependency Lengths	form	NOUN_PL	dependency length
Discourse Layer	form	NOUN_SG	discourse layer
Discourse Layers	form	NOUN_PL	discourse layer
Dogfood	form	NOUN_SG	dogfood
Dogfoods	form	NOUN_PL	dogfood
Embedding Depth	form	NOUN_SG	embedding depth
Embedding Depths	form	NOUN_PL	embedding depth
English	name	-	English
Enumeration	form	NOUN_SG	enumeration
Enumeration	member_of	-	Block
Enumerations	form	NOUN_PL	enumeration
First Token	form	NOUN_SG	first token
First Tokens	form	NOUN_PL	first token
Form Tag	form	NOUN_SG	form tag
Form Tags	form	NOUN_PL	form tag
Function Word	form	NOUN_SG	function word
Function Words	form	NOUN_PL	function word
Gap	form	NOUN_SG	gap
Gap	member_of	-	Rejection
Gaps	form	NOUN_PL	gap
Gherkin	name	-	Gherkin
Grammar	form	NOUN_SG	grammar
Grammars	form	NOUN_PL	grammar
Head Noun	form	NOUN_SG	head noun
Head Nouns	form	NOUN_PL	head noun
Idiomatic Structure	form	NOUN_SG	idiomatic structure
Idiomatic Structures	form	NOUN_PL	idiomatic structure
Imperative	form	NOUN_SG	imperative
Imperative	member_of	-	Sentence Shape
Imperatives	form	NOUN_PL	imperative
Indexical Pronoun	form	NOUN_SG	indexical pronoun
Indexical Pronoun	member_of	-	Pronoun
Indexical Pronouns	form	NOUN_PL	indexical pronoun
Language Model	form	NOUN_SG	language model
Language Models	form	NOUN_PL	language model
Lemma	form	NOUN_SG	lemma
Lemmas	form	NOUN_PL	lemma
Lexer	form	NOUN_SG	lexer
Lexers	form	NOUN_PL	lexer
Lexgen	name	-	Lexgen
Lexicon	form	NOUN_SG	lexicon
Lexicons	form	NOUN_PL	lexicon
Linter	form	NOUN_SG	linter
